date,city,company,desc,price
2021-05-21,MYSORE,Vencobb,(Large) Per kg,80.0
2021-05-21,SHIMOGA,Vencobb,(Large) Per kg,80.0
2021-05-21,hosadurga,Vencobb,(Large) Per Kg,80.0
2021-05-22,BANGALORE,Vencobb,(Large) Per kg,85.0
2021-05-22,HASSAN,Vencobb,(Large) Per kg,85.0
2021-05-22,MYSORE,Vencobb,(Large) Per kg,85.0
2021-05-22,SHIMOGA,Vencobb,(Large) Per kg,85.0
2021-05-22,hosadurga,Vencobb,(Large) Per Kg,85.0
2021-05-23,BANGALORE,Vencobb,(Large) Per kg,88.0
2021-05-23,HASSAN,Vencobb,(Large) Per kg,88.0
2021-05-23,MYSORE,Vencobb,(Large) Per kg,88.0
2021-05-23,SHIMOGA,Vencobb,(Large) Per kg,88.0
2021-05-23,hosadurga,Vencobb,(Large) Per Kg,88.0
2021-05-24,BANGALORE,Vencobb,(Large) Per kg,80.0
2021-05-24,HASSAN,Vencobb,(Large) Per kg,82.0
2021-05-24,MYSORE,Vencobb,(Large) Per kg,80.0
2021-05-24,SHIMOGA,Vencobb,(Large) Per kg,84.0
